
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0665     0.9617  8.0132e-01 1346.11
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4829     0.4929  1.0076e-04    2.08
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5420  9.6249e-04    6.07
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5920  5.3047e-04    4.05
cell(4_x)              0.2190     0.2047  2.0346e-04    6.51
cell(4_y)              0.0390     0.0490  1.0070e-04   25.73
cell(4_z)              0.2800     0.2972  2.9660e-04    6.15
cell(5_x)              0.5110     0.5424  9.8678e-04    6.15
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5922  5.4047e-04    4.09
cell(6_x)              0.2190     0.2045  2.0944e-04    6.61
cell(6_y)              0.0390     0.0492  1.0428e-04   26.18
cell(6_z)              0.2800     0.2972  2.9577e-04    6.14
cell(Volume)         226.2552   228.0358  3.1707e+00    0.79
cell(a)                5.5980     5.5024  9.1355e-03    1.71
cell(b)                7.6230     7.6797  3.2190e-03    0.74
cell(c)                5.3020     5.3964  8.9089e-03    1.78
-------------------------------------------------------------
Dy2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9708  1.1096e-05    0.34
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3911     0.3898  1.6002e-06    0.32
cell(3_y)              0.1515     0.1510  2.5200e-07    0.33
cell(3_z)              0.3795     0.3810  2.3409e-06    0.40
cell(4_x)              0.3911     0.3897  2.0449e-06    0.37
cell(4_y)              0.1515     0.1509  3.9564e-07    0.42
cell(4_z)              0.3795     0.3811  2.6863e-06    0.43
cell(Volume)        1214.7678  1224.3775  9.2346e+01    0.79
cell(a)               10.6700    10.6981  7.8748e-04    0.26
cell(b)               10.6700    10.6981  7.8748e-04    0.26
cell(c)               10.6700    10.6981  7.8748e-04    0.26
-------------------------------------------------------------
ErFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0408  8.0299e-04   41.01
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4816     0.4916  1.0002e-04    2.08
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4594     0.4508  7.4494e-05    1.88
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6137     0.6006  1.7130e-04    2.13
cell(4_x)              0.3059     0.2973  7.3359e-05    2.80
cell(4_y)              0.0573     0.0538  1.2341e-05    6.13
cell(4_z)              0.1910     0.2005  8.9719e-05    4.96
cell(5_x)              0.4594     0.4504  8.1018e-05    1.96
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6137     0.6008  1.6561e-04    2.10
cell(6_x)              0.3059     0.2976  6.9406e-05    2.72
cell(6_y)              0.0573     0.0540  1.1062e-05    5.80
cell(6_z)              0.1910     0.2005  9.0840e-05    4.99
