
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0665     0.9631  8.0395e-01 1348.32
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4829     0.4935  1.1300e-04    2.20
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5389  7.7813e-04    5.46
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5882  3.6864e-04    3.37
cell(4_x)              0.2190     0.2058  1.7472e-04    6.04
cell(4_y)              0.0390     0.0469  6.2663e-05   20.30
cell(4_z)              0.2800     0.2960  2.5747e-04    5.73
cell(5_x)              0.5110     0.5393  8.0010e-04    5.54
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5884  3.7702e-04    3.41
cell(6_x)              0.2190     0.2056  1.7988e-04    6.12
cell(6_y)              0.0390     0.0471  6.5400e-05   20.74
cell(6_z)              0.2800     0.2960  2.5725e-04    5.73
cell(Volume)         226.2552   232.2064  3.5417e+01    2.63
cell(a)                5.5980     5.5327  4.2706e-03    1.17
cell(b)                7.6230     7.7223  9.8639e-03    1.30
cell(c)                5.3020     5.4349  1.7668e-02    2.51
-------------------------------------------------------------
Dy2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9708  1.0673e-05    0.34
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3911     0.3898  1.6718e-06    0.33
cell(3_y)              0.1515     0.1510  2.5100e-07    0.33
cell(3_z)              0.3795     0.3810  2.3870e-06    0.41
cell(4_x)              0.3911     0.3896  2.1141e-06    0.37
cell(4_y)              0.1515     0.1509  3.9062e-07    0.41
cell(4_z)              0.3795     0.3811  2.7225e-06    0.43
cell(Volume)        1214.7678  1262.3632  2.2653e+03    3.92
cell(a)               10.6700    10.8076  1.8926e-02    1.29
cell(b)               10.6700    10.8076  1.8926e-02    1.29
cell(c)               10.6700    10.8076  1.8926e-02    1.29
-------------------------------------------------------------
ErFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0393  8.8941e-04   43.16
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4816     0.4925  1.1842e-04    2.26
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4594     0.4554  1.5737e-05    0.86
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6137     0.5951  3.4510e-04    3.03
cell(4_x)              0.3059     0.2961  9.6747e-05    3.22
cell(4_y)              0.0573     0.0507  4.3047e-05   11.45
cell(4_z)              0.1910     0.2019  1.1846e-04    5.70
cell(5_x)              0.4594     0.4551  1.8888e-05    0.95
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
