
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0665     0.9608  7.9968e-01 1344.74
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4829     0.4925  9.1585e-05    1.98
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5110     0.5449  1.1483e-03    6.63
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5690     0.5955  7.0289e-04    4.66
cell(4_x)              0.2190     0.2038  2.3043e-04    6.93
cell(4_y)              0.0390     0.0509  1.4268e-04   30.63
cell(4_z)              0.2800     0.2982  3.3273e-04    6.51
cell(5_x)              0.5110     0.5453  1.1739e-03    6.70
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5957  7.1455e-04    4.70
cell(6_x)              0.2190     0.2036  2.3704e-04    7.03
cell(6_y)              0.0390     0.0511  1.4702e-04   31.09
cell(6_z)              0.2800     0.2982  3.3146e-04    6.50
cell(Volume)         226.2552   228.8281  6.6201e+00    1.14
cell(a)                5.5980     5.5096  7.8153e-03    1.58
cell(b)                7.6230     7.6953  5.2303e-03    0.95
cell(c)                5.3020     5.3971  9.0499e-03    1.79
-------------------------------------------------------------
Dy2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9675     0.9710  1.1979e-05    0.36
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3911     0.3899  1.4448e-06    0.31
cell(3_y)              0.1515     0.1510  2.3814e-07    0.32
cell(3_z)              0.3795     0.3810  2.2861e-06    0.40
cell(4_x)              0.3911     0.3897  1.8632e-06    0.35
cell(4_y)              0.1515     0.1509  3.7700e-07    0.41
cell(4_z)              0.3795     0.3811  2.6341e-06    0.43
cell(Volume)        1214.7678  1214.5757  3.6869e-02    0.02
cell(a)               10.6700    10.6694  3.1584e-07    0.01
cell(b)               10.6700    10.6694  3.1584e-07    0.01
cell(c)               10.6700    10.6694  3.1584e-07    0.01
-------------------------------------------------------------
ErFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0691     0.0408  7.9851e-04   40.89
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4816     0.4915  9.7951e-05    2.06
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4594     0.4499  9.0993e-05    2.08
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6137     0.6017  1.4501e-04    1.96
cell(4_x)              0.3059     0.2976  6.8608e-05    2.71
cell(4_y)              0.0573     0.0544  8.6612e-06    5.14
cell(4_z)              0.1910     0.2002  8.3979e-05    4.80
cell(5_x)              0.4594     0.4495  9.8010e-05    2.15
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6137     0.6019  1.3971e-04    1.93
cell(6_x)              0.3059     0.2979  6.4754e-05    2.63
cell(6_y)              0.0573     0.0545  7.6010e-06    4.81
cell(6_z)              0.1910     0.2002  8.5064e-05    4.83
cell(Volume)         223.0089   225.5130  6.2706e+00    1.12
cell(a)                5.5820     5.4831  9.7719e-03    1.77
cell(b)                7.5910     7.6721  6.5809e-03    1.07
cell(c)                5.2630     5.3608  9.5564e-03    1.86
-------------------------------------------------------------
Er2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9711  1.6826e-05    0.42
